IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Male,SEX_MLE,,,,,,,,,,70.64,,,70.43,,70.9,70.6 [70.4-70.9],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.81,,,72.63,,73.04,72.8 [72.6-73.0],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Female,SEX_FMLE,,,,,,,,,,75.32,,,75.18,,75.61,75.3 [75.2-75.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Male,SEX_MLE,,,,,,,,,,17.35,,,17.14,,17.61,17.4 [17.1-17.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,18.35,,,18.15,,18.56,18.3 [18.2-18.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,TRUE,Sex,Female,SEX_FMLE,,,,,,,,,,19.47,,,19.3,,19.7,19.5 [19.3-19.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,75.5,,,75.45,,75.59,75.5 [75.4-75.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,76.79,,,76.75,,76.89,76.8 [76.8-76.9],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,78.61,,,78.58,,78.72,78.6 [78.6-78.7],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,21.36,,,21.33,,21.4,21.4 [21.3-21.4],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,21.5,,,21.49,,21.55,21.5 [21.5-21.6],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,22.11,,,22.1,,22.17,22.1 [22.1-22.2],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,72.71,,,72.67,,72.82,72.7 [72.7-72.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.68,,,74.64,,74.78,74.7 [74.6-74.8],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Female,SEX_FMLE,,,,,,,,,,76.99,,,76.96,,77.09,77.0 [77.0-77.1],,,EN,2024-08-01T16:00:00.000Z
WHOSIS_000015,Life expectancy at age 60 (years),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,FALSE,Sex,Male,SEX_MLE,,,,,,,,,,18.97,,,18.95,,19.01,19.0 [18.9-19.0],,,EN,2024-08-01T16:00:00.000Z
